"Package"	"LibPath"	"Version"	"Priority"	"Depends"	"Imports"	"LinkingTo"	"Suggests"	"Enhances"	"License"	"License_is_FOSS"	"License_restricts_use"	"OS_type"	"MD5sum"	"NeedsCompilation"	"Built"	"Published"	"Repository"	"RemoteUrl"	"RemoteSha"	"biocViews"
"DelayedArray"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.38.2"		"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.53.3), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.47.6),
IRanges (>= 2.17.3), S4Arrays (>= 1.9.3), SparseArray (>=
1.7.5)"	"stats"		"BiocParallel, HDF5Array (>= 1.17.12), ZarrArray, genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit"		"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-05-26 21:59:34 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/DelayedArray"	"63285a4ab9f3b74c894e5f709e9cde408fca78c0"	"Infrastructure, DataRepresentation, Annotation,
GenomeAnnotation"
"Deriv"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"4.3.5"		"Rcpp, R (>= 4.5)"	"methods"	"Rcpp"	"testthat (>= 0.11.0)"		"GPL (>= 3)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-03 23:51:16 UTC; windows"		"CRAN"			
"FNN"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.1.4.1"		"R (>= 4.0.0)"			"chemometrics, mvtnorm"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:22 UTC; windows"		"CRAN"			
"Formula"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"1.2-6"		"R (>= 2.0.0), stats"			"knitr, rmarkdown"		"GPL-2 | GPL-3"					"no"	"R 4.6.1; ; 2026-09-09 00:54:00 UTC; windows"		"CRAN"			
"GenomicRanges"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.64.0"		"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.53.2),
S4Vectors (>= 0.45.2), IRanges (>= 2.43.6), Seqinfo (>= 0.99.3)"	"utils, stats"		"GenomeInfoDb, Biobase, AnnotationDbi, annotate, Biostrings
(>= 2.77.2), SummarizedExperiment (>= 1.39.1), Rsamtools,
GenomicAlignments, BSgenome, GenomicFeatures, UCSC.utils,
txdbmaker, Gviz, VariantAnnotation, AnnotationHub, DESeq2,
DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart51,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle"		"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-04-29 15:12:33 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/GenomicRanges"	"ac531f1ce56cc9119075d1c6862c68ad33f98536"	"Genetics, Infrastructure, DataRepresentation, Sequencing,
Annotation, GenomeAnnotation, Coverage"
"GetoptLong"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.1.1"		"R (>= 4.0.0)"	"rjson, GlobalOptions (>= 0.1.0), methods, crayon"		"testthat (>= 1.0.0), knitr, markdown, rmarkdown"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 01:10:17 UTC; windows"		"CRAN"			
"GlobalOptions"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.1.4"		"R (>= 3.3.0), methods"	"utils"		"testthat (>= 1.0.0), knitr, markdown, GetoptLong, rmarkdown"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:54:49 UTC; windows"		"CRAN"			
"IRanges"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.46.0"		"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.53.2),
S4Vectors (>= 0.47.6)"	"stats4"	"S4Vectors"	"XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle"		"Artistic-2.0"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:31:00 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/IRanges"	"db589cc82f235a7be2d5f2bc6971af1fa2fd03b5"	"Infrastructure, DataRepresentation"
"KernSmooth"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"2.23-26"	"recommended"	"R (>= 2.5.0), stats"			"MASS, carData"		"Unlimited"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:32:40 UTC; windows"		"CRAN"			
"MASS"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"7.3-65"	"recommended"	"R (>= 4.4.0), grDevices, graphics, stats, utils"	"methods"		"lattice, nlme, nnet, survival"		"GPL-2 | GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:25 UTC; windows"		"CRAN"			
"MCMCprecision"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.4.2"		"R (>= 4.0.0)"	"Rcpp, parallel, utils, stats, Matrix, combinat"	"Rcpp, RcppArmadillo, RcppProgress, RcppEigen"	"testthat, R.rsp"		"GPL-3"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:13:14 UTC; windows"		"CRAN"			
"Matrix"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/r_runtime/library"	"1.7-5"	"recommended"	"R (>= 4.4), methods"	"grDevices, graphics, grid, lattice, stats, utils"		"MASS, datasets, sfsmisc, tools"	"SparseM, graph"	"GPL (>= 2) | file LICENCE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-06-24 08:23:58 UTC; windows"		"CRAN"			
"MatrixGenerics"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.24.0"		"matrixStats (>= 1.4.1)"	"methods"		"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)"		"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-04-29 11:26:40 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/MatrixGenerics"	"df689091cb9c520a1a0dd205daca647a23bc415b"	"Infrastructure, Software"
"MatrixModels"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.5-4"		"R (>= 3.6.0)"	"stats, methods, Matrix (>= 1.6-0), Matrix(< 1.8-0)"				"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 02:20:47 UTC; windows"		"CRAN"			
"NMF"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"0.28"		"R (>= 3.0.0), methods, utils, registry, rngtools (>= 1.2.3),
cluster"	"graphics, stats, stringr (>= 1.0.0), digest, grid, grDevices,
gridBase, colorspace, RColorBrewer, foreach, doParallel,
ggplot2, reshape2, Biobase, codetools, BiocManager"		"fastICA, doMPI, bigmemory (>= 4.2), synchronicity(>= 1.3.2),
corpcor, xtable, devtools, knitr, RUnit"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 03:10:05 UTC; windows"		"CRAN"			
"QuickJSR"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.11.0"					"knitr, rmarkdown, tinytest"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:57:27 UTC; windows"		"CRAN"			
"R6"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.6.1"		"R (>= 3.6)"			"lobstr, testthat (>= 3.0.0)"		"MIT + file LICENSE"					"no"	"R 4.6.1; ; 2026-09-09 00:54:01 UTC; windows"		"CRAN"			
"RANN"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.6.3"					"testthat"		"GPL (>= 3)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:07 UTC; windows"		"CRAN"			
"RColorBrewer"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.1-3"		"R (>= 2.0.0)"					"Apache License 2.0"					"no"	"R 4.6.1; ; 2026-08-19 11:46:07 UTC; windows"		"CRAN"			
"ROCR"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.0-12"		"R (>= 3.6)"	"methods, graphics, grDevices, gplots, stats"		"testthat, knitr, rmarkdown"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 01:56:44 UTC; windows"		"CRAN"			
"RSpectra"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.16-2"		"R (>= 3.0.2)"	"Matrix (>= 1.1-0), Rcpp (>= 0.11.5)"	"Rcpp, RcppEigen (>= 0.3.3.3.0)"	"knitr, rmarkdown, prettydoc"		"MPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:22:20 UTC; windows"		"CRAN"			
"Rcpp"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.1.2"		"R (>= 3.5.0)"	"methods, utils"		"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:07 UTC; windows"		"CRAN"			
"RcppAnnoy"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.0.23"		"R (>= 3.1)"	"methods, Rcpp"	"Rcpp"	"tinytest"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:59:56 UTC; windows"		"CRAN"			
"RcppArmadillo"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"15.6.0-1"		"R (>= 3.3.0)"	"Rcpp (>= 1.1.1), stats, utils, methods"	"Rcpp"	"tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:59 UTC; windows"		"CRAN"			
"RcppEigen"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.3.4.0.2"		"R (>= 3.6.0)"	"Rcpp (>= 0.11.0), stats, utils"	"Rcpp"	"Matrix, inline, tinytest, pkgKitten, microbenchmark"		"GPL (>= 2) | file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:55:58 UTC; windows"		"CRAN"			
"RcppHNSW"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.7.0"			"methods, Rcpp (>= 0.11.3)"	"Rcpp"	"covr, testthat"		"GPL (>= 3)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:00:03 UTC; windows"		"CRAN"			
"RcppML"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.3.7.1"			"Rcpp, Matrix, methods, stats"	"Rcpp, RcppEigen"	"knitr, rmarkdown, testthat (>= 3.0.0)"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:58:09 UTC; windows"		"CRAN"			
"RcppParallel"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"6.2.1"		"R (>= 3.6.0)"			"Rcpp, knitr, rmarkdown"		"GPL (>= 3)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:53 UTC; windows"		"CRAN"			
"RcppProgress"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.4.2"					"RcppArmadillo, devtools, roxygen2, testthat"		"GPL (>= 3)"					"no"	"R 4.6.1; ; 2026-09-09 00:54:41 UTC; windows"		"CRAN"			
"RcppTOML"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.2.3"		"R (>= 3.3.0)"	"Rcpp (>= 1.0.8)"	"Rcpp"	"tinytest"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:56:36 UTC; windows"		"CRAN"			
"Rdpack"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"2.6.6"		"R (>= 2.15.0), methods"	"tools, utils, rbibutils (> 2.4)"		"grDevices, testthat, rstudioapi, rprojroot, gbRd"		"GPL (>= 2)"					"no"	"R 4.6.1; ; 2026-09-09 01:55:55 UTC; windows"		"CRAN"			
"Rtsne"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.17"			"Rcpp (>= 0.11.0), stats"	"Rcpp"	"irlba, testthat"		"file LICENSE"	"yes"				"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 01:00:00 UTC; windows"		"CRAN"			
"S4Arrays"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.12.0"		"R (>= 4.3.0), methods, Matrix, abind, BiocGenerics (>=
0.45.2), S4Vectors (>= 0.47.6), IRanges"	"stats"	"S4Vectors"	"BiocParallel, SparseArray (>= 0.0.4), DelayedArray,
HDF5Array, testthat, knitr, rmarkdown, BiocStyle"		"Artistic-2.0"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-04-29 11:28:31 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/S4Arrays"	"b1246fd0b81ac137623ee1c0d6587a59e8ad1073"	"Infrastructure, DataRepresentation"
"S4Vectors"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.50.2"		"R (>= 4.1.0), methods, utils, stats, stats4, BiocGenerics (>=
0.53.2)"			"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle,
knitr"		"Artistic-2.0"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-08-20 20:13:31 UTC; windows"		"Bioconductor 3.23"	"https://github.com/bioc/S4Vectors"	"9bd354f3a5b9fd19f549b472e24518328aa2abf3"	"Infrastructure, DataRepresentation"
"S7"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"0.2.2"		"R (>= 3.5.0)"	"utils"		"bench, callr, covr, knitr, methods, rmarkdown, testthat (>=
3.2.0), tibble"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:02 UTC; windows"		"CRAN"			
"ScaledMatrix"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.20.0"			"methods, Matrix, S4Vectors, DelayedArray"		"testthat, BiocStyle, knitr, rmarkdown, BiocSingular,
DelayedMatrixStats"		"GPL-3"					"no"	"R 4.6.0; ; 2026-04-29 13:53:54 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/ScaledMatrix"	"94df0ea72694e0403c34536ec15ffb459d70662f"	"Software, DataRepresentation"
"Seqinfo"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.2.0"		"methods, BiocGenerics"	"stats, S4Vectors (>= 0.47.6), IRanges"		"GenomeInfoDb, GenomicRanges, BSgenome, GenomicFeatures,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Hsapiens.UCSC.hg38, BSgenome.Celegans.UCSC.ce2, RUnit,
knitr, rmarkdown, BiocStyle"		"Artistic-2.0"					"no"	"R 4.6.0; ; 2026-05-04 08:56:19 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/Seqinfo"	"345dd61b77c8ff7e90ecc587d7b32c4d7189f690"	"Infrastructure, DataRepresentation, GenomeAssembly,
Annotation, GenomeAnnotation"
"Seurat"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"5.5.1"		"R (>= 4.0.0), methods, SeuratObject (>= 5.0.2)"	"cluster, cowplot, fastDummies, fitdistrplus, future,
future.apply, generics (>= 0.1.3), ggplot2 (>= 3.3.0), ggrepel,
ggridges, graphics, grDevices, grid, httr, ica, igraph, irlba,
jsonlite, KernSmooth, lifecycle, lmtest, MASS, Matrix (>=
1.5-0), matrixStats, miniUI, patchwork, pbapply, plotly (>=
4.9.0), png, progressr, RANN, RColorBrewer, Rcpp (>= 1.0.7),
RcppAnnoy (>= 0.0.18), RcppHNSW, reticulate, rlang, ROCR,
RSpectra, Rtsne, scales, scattermore (>= 1.2), sctransform (>=
0.4.1), shiny, spatstat.explore, spatstat.geom, stats, tibble,
tools, utils, uwot (>= 0.1.10)"	"Rcpp (>= 0.11.0), RcppEigen, RcppProgress"	"ape, arrow, base64enc, Biobase, BiocGenerics, BPCells,
data.table, DESeq2, DelayedArray, enrichR, GenomicRanges,
GenomeInfoDb, glmGamPoi, ggrastr, harmony, hdf5r, IRanges,
leidenbase, limma, magrittr, MAST, metap, mixtools, monocle,
presto, rsvd, R.utils, Rfast2, rtracklayer, S4Vectors, sf (>=
1.0.0), sp, SingleCellExperiment, SummarizedExperiment,
testthat, VGAM"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 04:15:51 UTC; windows"		"CRAN"			
"SeuratObject"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"5.4.0"		"R (>= 4.1.0), sp (>= 1.5.0)"	"future, future.apply, generics, grDevices, grid, lifecycle,
Matrix (>= 1.6.4), methods, progressr, Rcpp (>= 1.0.5), rlang
(>= 0.4.7), spam, stats, tools, utils"	"Rcpp, RcppEigen"	"BPCells, DelayedArray, fs (>= 1.5.2), sf (>= 1.0.0), ggplot2,
HDF5Array, rmarkdown, testthat"		"MIT + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:24:14 UTC; windows"		"CRAN"			
"SingleCellExperiment"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.34.0"		"SummarizedExperiment"	"methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray"		"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne"		"GPL-3"					"no"	"R 4.6.0; ; 2026-04-29 15:26:55 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/SingleCellExperiment"	"f92b7823acc328c8b65259d38ada6ce401bd80cb"	"ImmunoOncology, DataRepresentation, DataImport,
Infrastructure, SingleCell"
"SparseArray"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"1.12.2"		"R (>= 4.3.0), methods, Matrix, BiocGenerics (>= 0.43.1),
MatrixGenerics (>= 1.11.1), S4Vectors (>= 0.43.2), S4Arrays (>=
1.11.1)"	"utils, stats, matrixStats, IRanges, XVector"	"S4Vectors, IRanges, XVector"	"HDF5Array, ExperimentHub, testthat, knitr, rmarkdown,
BiocStyle"		"Artistic-2.0"					"yes"	"R 4.6.0; x86_64-w64-mingw32; 2026-05-01 20:55:46 UTC; windows"		"https://bioc-release.r-universe.dev"	"https://github.com/bioc/SparseArray"	"dd96584c2f1284fe00041e392b5bed5749b4e42d"	"Infrastructure, DataRepresentation"
"SparseM"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_v3_cellchat/rlibrary"	"1.84-2"		"R (>= 2.15), methods"	"graphics, stats, utils"		"knitr"		"GPL (>= 2)"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 00:54:03 UTC; windows"		"CRAN"			
"StanHeaders"	"C:/Users/admin/Documents/Codex/2026-09-09/duo/work/repro_decontx/rlibrary"	"2.39.1"		"R (>= 3.4.0)"	"RcppParallel (>= 5.1.4)"	"RcppEigen (>= 0.3.3.9.3), RcppParallel (>= 5.1.4)"	"Rcpp, BH (>= 1.75.0-0), knitr (>= 1.36), rmarkdown, Matrix,
methods, rstan, withr"		"BSD_3_clause + file LICENSE"					"yes"	"R 4.6.1; x86_64-w64-mingw32; 2026-09-09 02:23:03 UTC; windows"		"CRAN"			
